Generation,Mean Fitness
1,-1.583614931729118
2,-2.0524971131805123
3,-2.2320543677374918
4,-2.295898482200688
5,-2.3120346512418326
6,-2.324414406499055
7,-2.336547086246319
8,-2.3380513913459042
9,-2.3451905651692773
10,-2.346369171201569
11,-2.347765326483773
12,-2.3507146856962517
13,-2.3507146856962517
14,-2.3507146856962517
15,-2.3507146856962517
16,-2.3507146856962517
17,-2.3507146856962517
18,-2.3507146856962517
19,-2.3507146856962517
20,-2.3507146856962517
21,-2.3507146856962517
22,-2.3507146856962517
23,-2.3507146856962517
24,-2.3507146856962517
25,-2.3507146856962517
26,-2.3507146856962517
27,-2.3507146856962517
28,-2.3507146856962517
29,-2.3507146856962517
30,-2.3507146856962517
31,-2.3507146856962517
32,-2.3507146856962517
33,-2.3507146856962517
34,-2.3507146856962517
35,-2.3507146856962517
36,-2.3507146856962517
37,-2.3507146856962517
38,-2.3507146856962517
39,-2.3507146856962517
40,-2.3507146856962517
41,-2.3507146856962517
42,-2.3507146856962517
43,-2.3507146856962517
44,-2.3507146856962517
45,-2.3507146856962517
46,-2.3507146856962517
47,-2.3507146856962517
48,-2.3507146856962517
49,-2.3507146856962517
50,-2.3507146856962517
51,-2.3507146856962517
52,-2.3507146856962517
53,-2.3507146856962517
54,-2.3507146856962517
55,-2.3507146856962517
56,-2.3507146856962517
57,-2.3507146856962517
58,-2.3507146856962517
59,-2.3507146856962517
60,-2.3507146856962517
61,-2.3507146856962517
62,-2.3507146856962517
63,-2.3507146856962517
64,-2.3507146856962517
65,-2.3507146856962517
66,-2.3507146856962517
67,-2.3507146856962517
68,-2.3507146856962517
69,-2.3507146856962517
70,-2.3507146856962517
71,-2.3507146856962517
72,-2.3507146856962517
73,-2.3507146856962517
74,-2.3507146856962517
75,-2.3507146856962517
76,-2.3507146856962517
77,-2.3507146856962517
78,-2.3507146856962517
79,-2.3507146856962517
80,-2.3507146856962517
81,-2.3507146856962517
82,-2.3507146856962517
83,-2.3507146856962517
84,-2.3507146856962517
85,-2.3507146856962517
86,-2.3507146856962517
87,-2.3507146856962517
88,-2.3507146856962517
89,-2.3507146856962517
90,-2.3507146856962517
91,-2.3507146856962517
92,-2.3507146856962517
93,-2.3507146856962517
94,-2.3507146856962517
95,-2.3507146856962517
96,-2.3507146856962517
97,-2.3507146856962517
98,-2.3507146856962517
99,-2.3507146856962517
100,-2.3507146856962517
